district_name,state,source_slug,school_year,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,source
Lee’s Summit School District 2025-2026 in PDF,Missouri,lees-summit-school-district,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-23,2024-08-21,2024-08-21,2025-05-23,schoolcalendarinfo.com (current page)
Lewisville Independent School District 2025-2026,Texas,lewisville-independent-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-06,2025-05-23,2024-08-13,2024-08-13,2025-05-23,schoolcalendarinfo.com (current page)
Lincoln Public Schools 2025-2026 in PDF,Nebraska,lincoln-public-schools,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-03,2025-05-22,2024-08-12,2024-08-12,2025-05-22,schoolcalendarinfo.com (current page)
Little Miami Schools 2025-2026 &amp; Holiday Breaks,Ohio,little-miami-schools,2024-2025,2025-04-14,2025-04-21,2024-12-20,2025-01-03,2025-05-22,2024-08-15,2024-08-15,2025-05-22,schoolcalendarinfo.com (current page)
Long Beach Unified School District 2025-2026,California,long-beach-unified-school-district,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-03,2025-06-12,2024-08-27,2024-08-27,2025-06-12,schoolcalendarinfo.com (current page)
Loogootee Community Schools 2025-2026,Indiana,loogootee-community-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-05-22,2024-08-07,2024-08-07,2025-05-22,schoolcalendarinfo.com (current page)
Los Angeles Unified School District Holidays 2022-2023,,los-angeles-unified-school-district,2024-2025,2025-04-14,2025-04-18,2024-12-16,2025-01-03,2025-06-10,2024-08-12,2024-08-12,2025-06-10,schoolcalendarinfo.com (current page)
Lowell Public Schools 2025-2026 in PDF,Massachusetts,lowell-public-schools,2024-2025,2025-04-18,2025-04-25,2024-12-23,2025-01-01,2025-06-13,2024-08-27,2024-08-27,2025-06-13,schoolcalendarinfo.com (current page)
Lumpkin County School System 2025-2026,Georgia,lumpkin-county-school-system,2024-2025,2025-04-07,2025-04-11,2024-12-20,2025-01-06,2025-05-23,2024-08-05,2024-08-05,2025-05-23,schoolcalendarinfo.com (current page)
Madison County Schools 2025-2026 (Kentucky),Kentucky,madison-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-05-22,2024-08-14,2024-08-14,2025-05-22,schoolcalendarinfo.com (current page)
Magnolia Independent School District 2025-2026,Texas,magnolia-independent-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-07,2025-05-23,2024-08-08,2024-08-08,2025-05-23,schoolcalendarinfo.com (current page)
Malden Public Schools 2025-2026 in PDF,Massachusetts,malden-public-schools,2024-2025,2025-04-21,2025-04-25,2024-12-23,2025-01-01,2025-06-13,2024-08-28,2024-08-28,2025-06-13,schoolcalendarinfo.com (current page)
Manatee County School District 2025-2026 in PDF,Florida,manatee-county-school-district,2024-2025,2025-03-17,2025-03-24,2024-12-23,2025-01-06,2025-05-29,2024-08-12,2024-08-12,2025-05-29,schoolcalendarinfo.com (current page)
Manhasset Schools Holidays 2025-2026 | Download PDF,New York,manhasset-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-01,2025-06-27,2024-09-03,2024-09-03,2025-06-27,schoolcalendarinfo.com (current page)
Mansfield Independent School District 2025-2026,Texas,mansfield-independent-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-20,2025-01-07,2025-05-22,2024-08-14,2024-08-14,2025-05-22,schoolcalendarinfo.com (current page)
Martin County School 2025-2026 in PDF,Florida,martin-county-school,2024-2025,2025-04-18,2025-04-21,2024-12-23,2025-01-03,2025-05-29,2024-08-12,2024-08-12,2025-05-29,schoolcalendarinfo.com (current page)
McKinney Independent School District 2025-2026,Texas,mckinney-independent-school-district,2024-2025,2025-03-17,2025-03-24,2024-12-23,2025-01-06,2025-05-22,2024-08-08,2024-08-08,2025-05-22,schoolcalendarinfo.com (current page)
Mentor Public Schools 2025-2026 in PDF | Holidays,Ohio,mentor-public-schools,2024-2025,2025-03-14,2025-03-21,2024-12-23,2025-01-03,2025-05-30,2024-08-20,2024-08-20,2025-05-30,schoolcalendarinfo.com (current page)
Meriden Public Schools 2025-2026 in PDF,,meriden-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-10,2024-08-28,2024-08-28,2025-06-10,schoolcalendarinfo.com (current page)
Mesa Public Schools 2025-2026 in PDF,Arizona,mesa-public-schools,2024-2025,2025-03-10,2025-03-14,2024-12-20,2025-01-06,2025-05-22,2024-08-01,2024-08-01,2025-05-22,schoolcalendarinfo.com (current page)
Metro Nashville Public Schools 2025-2026,Tennessee,metro-nashville-public-schools,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-07,2025-05-22,2024-08-06,2024-08-06,2025-05-22,schoolcalendarinfo.com (current page)
Miami-Dade County Public Schools Holidays 2022-2023,,miami-dade-county-public-schools,2024-2025,2025-03-24,2025-03-31,2024-12-23,2025-01-03,2025-06-05,2024-08-15,2024-08-15,2025-06-05,schoolcalendarinfo.com (current page)
Minnetonka Schools 2025-2026 in PDF,Minnesota,minnetonka-schools,2024-2025,2025-03-31,2025-04-07,2024-12-23,2025-01-06,2025-06-10,2024-09-03,2024-09-03,2025-06-10,schoolcalendarinfo.com (current page)
Montclair Public Schools 2025 in PDF,New Jersey,montclair-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-24,2025-01-01,2025-06-26,2024-09-05,2024-09-05,2025-06-26,schoolcalendarinfo.com (current page)
Moore Schools 2025-2026 in PDF | Holiday Breaks,Oklahoma,moore-schools,2024-2025,2025-03-14,2025-03-21,2024-12-23,2025-01-06,2025-05-16,2024-08-08,2024-08-08,2025-05-16,schoolcalendarinfo.com (current page)
Muscogee County Public Schools 2025-2026,,muscogee-county-public-schools,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-06,2025-05-23,2024-08-08,2024-08-08,2025-05-23,schoolcalendarinfo.com (current page)
Nashua School District 2025-2026 in PDF,New Hampshire,nashua-school-district,2024-2025,2025-04-28,2025-05-02,2024-12-23,2025-01-01,2025-06-13,,,2025-06-13,schoolcalendarinfo.com (current page)
New Albany Floyd County Schools 2025-2026 in PDF,Indiana,new-albany-floyd-county-schools,2024-2025,2025-03-17,2025-03-28,2024-12-23,2025-01-06,2025-05-30,2024-07-31,2024-07-31,2025-05-30,schoolcalendarinfo.com (current page)
New Bedford Public Schools 2025 in PDF,Massachusetts,new-bedford-public-schools,2024-2025,,,,,2025-06-10,2024-08-29,2024-08-29,2025-06-10,schoolcalendarinfo.com (current page)
New Caney Independent School District 2025-2026,Texas,new-caney-independent-school-district,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-22,2024-08-07,2024-08-07,2025-05-22,schoolcalendarinfo.com (current page)
New Hanover County Schools 2025-2026 in PDF,North Carolina,new-hanover-county-schools,2024-2025,2025-04-14,2025-04-21,2024-12-20,2025-01-03,2025-06-06,2024-08-27,2024-08-27,2025-06-06,schoolcalendarinfo.com (current page)
New Trier Township High School District 203 2025-2026,Illinois,new-trier-township-high-school-district-203,2024-2025,2025-03-24,2025-03-28,2024-12-20,2025-01-03,2025-06-06,2024-08-21,2024-08-21,2025-06-06,schoolcalendarinfo.com (current page)
Newport News Public Schools 2025-2026 in PDF,Virginia,newport-news-public-schools,2024-2025,2025-04-07,2025-04-14,2024-12-23,2025-01-06,2025-06-10,2024-08-26,2024-08-26,2025-06-10,schoolcalendarinfo.com (current page)
Norfolk Public Schools 2025-2026 Holidays PDF,Virginia,norfolk-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-03,2025-05-30,2024-08-19,2024-08-19,2025-05-30,schoolcalendarinfo.com (current page)
Northside Independent School District 2025-2026 PDF,Texas,northside-independent-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-06,2025-05-29,2024-08-19,2024-08-19,2025-05-29,schoolcalendarinfo.com (current page)
Ogden School District 2025-2026 in PDF,Utah,ogden-school-district,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-05-23,2024-08-16,2024-08-16,2025-05-23,schoolcalendarinfo.com (current page)
Ohio County Schools Holidays 2024-2025,Kentucky,ohio-county-schools,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-05-14,2024-08-07,2024-08-07,2025-05-14,schoolcalendarinfo.com (current page)
Okaloosa County School District 2025-2026 in PDF,Florida,okaloosa-county-school-district,2024-2025,2025-03-14,2025-03-24,2024-12-23,2025-01-07,2025-05-29,2024-08-12,2024-08-12,2025-05-29,schoolcalendarinfo.com (current page)
Old Bridge Township Public Schools 2025-2026,New Jersey,old-bridge-township-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-20,2024-09-05,2024-09-05,2025-06-20,schoolcalendarinfo.com (current page)
Olentangy Local School District 2025-2026 in PDF,Delaware,olentangy-local-school-district,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-05-22,2024-08-15,2024-08-15,2025-05-22,schoolcalendarinfo.com (current page)
Orange County Public Schools 2025-2026 | OCPS,,orange-county-public-schools,2024-2025,2025-03-14,2025-03-21,2024-12-23,2025-01-06,2025-05-28,2024-08-12,2024-08-12,2025-05-28,schoolcalendarinfo.com (current page)
Oregon School District Holidays 2025-2026,Oregon,oregon-school-district-calendar,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-01,2025-06-11,2024-09-03,2024-09-03,2025-06-11,schoolcalendarinfo.com (current page)
Osceola County School District Holidays 2025-2026,,osceola-county-school-district,2024-2025,2025-03-17,2025-03-24,2024-12-23,2025-01-06,2025-05-30,2024-08-12,2024-08-12,2025-05-30,schoolcalendarinfo.com (current page)
Pasco County Schools Holidays 2025-2026 PDF,Florida,pasco-county-schools,2024-2025,2025-03-14,2025-03-21,2024-12-23,2025-01-06,2025-05-30,2024-08-12,2024-08-12,2025-05-30,schoolcalendarinfo.com (current page)
Paulding County School District 2025-2026 in PDF,Georgia,paulding-county-school-district,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-05-21,2024-08-01,2024-08-01,2025-05-21,schoolcalendarinfo.com (current page)
Pender County Schools 2025-2026 in PDF,North Carolina,pender-county-schools,2024-2025,2025-03-07,2025-03-28,2024-12-13,2025-01-03,2025-06-02,2024-07-15,2024-07-15,2025-06-02,schoolcalendarinfo.com (current page)
Pitt County Schools 2025-2026 &amp; Holiday Breaks,North Carolina,pitt-county-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-03,2025-06-10,2024-08-26,2024-08-26,2025-06-10,schoolcalendarinfo.com (current page)
Plainfield School District 202 2025-2026 in PDF,Illinois,plainfield-school-district-202,2024-2025,2025-03-31,2025-04-07,2024-12-23,2025-01-06,2025-05-28,2024-08-15,2024-08-15,2025-05-28,schoolcalendarinfo.com (current page)
Plano Independent School District 2025-2026,Texas,plano-independent-school-district,2024-2025,2025-03-17,2025-03-24,2024-12-23,2025-01-06,2025-05-23,2024-08-13,2024-08-13,2025-05-23,schoolcalendarinfo.com (current page)
Polk County Public Schools Holidays 2025-2026 PDF,,polk-county-public-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-07,2025-05-29,2024-08-12,2024-08-12,2025-05-29,schoolcalendarinfo.com (current page)
Polk County Schools 2025-2026 in PDF,Florida,polk-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-05-23,2024-08-08,2024-08-08,2025-05-23,schoolcalendarinfo.com (current page)
Portage Public Schools 2025-2026 in PDF,Michigan,portage-public-schools,2024-2025,2025-03-28,2025-04-04,2024-12-25,2025-01-03,2025-06-06,2024-08-26,2024-08-26,2025-06-06,schoolcalendarinfo.com (current page)
Portland Public Schools Holidays 2025-2026 PDF,Oregon,portland-public-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-06-10,2024-08-27,2024-08-27,2025-06-10,schoolcalendarinfo.com (current page)
Prince William County Public Schools Holidays 2025-2026,Virginia,prince-william-county-public-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-03,2025-06-12,2024-08-19,2024-08-19,2025-06-12,schoolcalendarinfo.com (current page)
Prosper Independent School District 2025-2026,Texas,prosper-independent-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-23,2024-08-13,2024-08-13,2025-05-23,schoolcalendarinfo.com (current page)
Randolph Township School District 2025-2026 in PDF,New Jersey,randolph-township-schools-district,2024-2025,2025-04-14,2025-04-18,2024-12-24,2025-01-01,2025-06-12,2024-08-28,2024-08-28,2025-06-12,schoolcalendarinfo.com (current page)
Reynoldsburg City Schools 2025-2026 in PDF,Ohio,reynoldsburg-city-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-05-29,2024-08-23,2024-08-23,2025-05-29,schoolcalendarinfo.com (current page)
Richardson Independent School District 2025-2026,Texas,richardson-independent-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-23,2024-08-13,2024-08-13,2025-05-23,schoolcalendarinfo.com (current page)
Richmond City Public Schools 2025-2026 in PDF,Virginia,richmond-city-public-schools,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-05-30,2024-08-19,2024-08-19,2025-05-30,schoolcalendarinfo.com (current page)
Richmond County Schools 2025-2026,Georgia,richmond-county-schools,2024-2025,2025-04-07,2025-04-14,2024-12-23,2025-01-03,2025-05-23,2024-08-05,2024-08-05,2025-05-23,schoolcalendarinfo.com (current page)
Roanoke City Schools 2025-2026 in PDF,,roanoke-city-schools,2024-2025,,,,,2025-06-05,2024-08-20,2024-08-20,2025-06-05,schoolcalendarinfo.com (current page)
Robertson County Schools 2025-2026 in PDF,,robertson-county-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-23,2024-08-06,2024-08-06,2025-05-23,schoolcalendarinfo.com (current page)
Rochester City School District 2025-2026,New York,rochester-city-school-district,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-03,2025-06-25,2024-09-05,2024-09-05,2025-06-25,schoolcalendarinfo.com (current page)
Rutherford County Schools Holidays 2025-2026 PDF,Tennessee,rutherford-county-schools,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-07,2025-05-30,2024-08-08,2024-08-08,2025-05-30,schoolcalendarinfo.com (current page)
San Francisco Unified School District 2025-2026 PDF,California,san-francisco-unified-school-district,2024-2025,2025-03-28,2025-04-04,2024-12-23,2025-01-03,2025-06-04,2024-08-19,2024-08-19,2025-06-04,schoolcalendarinfo.com (current page)
Santa Rosa County District Schools 2025-2026 in PDF,Florida,santa-rosa-county-district-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-29,2024-08-12,2024-08-12,2025-05-29,schoolcalendarinfo.com (current page)
Sarasota County Schools 2025-2026 with Holidays,Florida,sarasota-county-schools,2024-2025,2025-03-14,2025-03-21,2024-12-23,2025-01-06,2025-05-28,2024-08-12,2024-08-12,2025-05-28,schoolcalendarinfo.com (current page)
Schenectady City School District 2025-2026 in PDF,New York,schenectady-city-school-district,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-27,2024-09-05,2024-09-05,2025-06-27,schoolcalendarinfo.com (current page)
Seminole County Public Schools 2025-2026,Florida,seminole-county-public-schools,2024-2025,2025-03-14,2025-03-21,2024-12-20,2025-01-06,2025-05-28,2024-08-12,2024-08-12,2025-05-28,schoolcalendarinfo.com (current page)
Shelby County Schools 2024-2025 (MSCS Holidays),Tennessee,shelby-county-schools,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-03,2025-05-23,2024-08-05,2024-08-05,2025-05-23,schoolcalendarinfo.com (current page)
South Orange-Maplewood School District 2025-2026,New Jersey,south-orange-maplewood-school-district,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-19,2024-09-04,2024-09-04,2025-06-19,schoolcalendarinfo.com (current page)
South-Western City School District 2025-2026 in PDF,Ohio,south-western-city-school-district,2024-2025,2025-03-21,2025-03-28,2024-12-23,2025-01-03,2025-06-03,2024-08-21,2024-08-21,2025-06-03,schoolcalendarinfo.com (current page)
Stewart County Schools 2025-2026 in PDF,Tennessee,stewart-county-schools,2024-2025,2025-03-14,2025-03-21,2024-12-16,2025-01-01,2025-05-23,2024-08-05,2024-08-05,2025-05-23,schoolcalendarinfo.com (current page)
Taunton Public Schools 2025-2026 in PDF,Massachusetts,taunton-public-schools,2024-2025,2025-04-18,2025-04-25,2024-12-23,2025-01-01,2025-06-17,2024-08-28,2024-08-28,2025-06-17,schoolcalendarinfo.com (current page)
Toledo Public Schools 2025-2026 in PDF,Ohio,toledo-public-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-06,2025-05-23,2024-08-28,2024-08-28,2025-05-23,schoolcalendarinfo.com (current page)
Trussville City Schools 2025-2026 (Holiday Breaks),Alabama,trussville-city-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-06,2025-05-22,2024-08-07,2024-08-07,2025-05-22,schoolcalendarinfo.com (current page)
Tustin Unified School District 2025-2026 in PDF,California,tustin-unified-school-district,2024-2025,2025-03-17,2025-03-24,2024-12-20,2025-01-03,2025-05-30,2024-08-14,2024-08-14,2025-05-30,schoolcalendarinfo.com (current page)
Ventura Unified School District 2024-2025 in PDF,California,ventura-unified-school-district,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-06,2025-06-05,2024-08-14,2024-08-14,2025-06-05,schoolcalendarinfo.com (current page)
Virginia Beach City Public Schools Holidays 2025-2026 (VBCPS),Virginia,virginia-beach-city-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-03,2025-06-13,2024-08-26,2024-08-26,2025-06-13,schoolcalendarinfo.com (current page)
Wake County Public Schools Holidays 2025-2026 PDF,North Carolina,wake-county-public-schools,2024-2025,2025-03-31,2025-04-07,2024-12-23,2025-01-02,2025-06-13,2024-08-27,2024-08-27,2025-06-13,schoolcalendarinfo.com (current page)
Walton County School District 2025-2026 in PDF,Georgia,walton-county-school-district,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-05-21,2024-08-01,2024-08-01,2025-05-21,schoolcalendarinfo.com (current page)
Warren Consolidated Schools 2025-2026 in PDF,Michigan,warren-consolidated-schools,2024-2025,2025-03-24,2025-03-31,2024-12-23,2025-01-03,2025-06-12,2024-08-28,2024-08-28,2025-06-12,schoolcalendarinfo.com (current page)
Washington County Schools 2025-2026 PDF | Tennessee,Tennessee,washington-county-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-06,2025-05-23,2024-08-05,2024-08-05,2025-05-23,schoolcalendarinfo.com (current page)
Washoe County School District 2025-2026,Nevada,washoe-county-school-district,2024-2025,2025-03-17,2025-03-28,2024-12-20,2025-01-03,2025-06-06,2024-08-12,2024-08-12,2025-06-06,schoolcalendarinfo.com (current page)
Watauga County Schools 2025-2026 in PDF,North Carolina,watauga-county-schools,2024-2025,2025-04-21,2025-04-25,2024-12-23,2025-01-03,2025-06-02,2024-08-19,2024-08-19,2025-06-02,schoolcalendarinfo.com (current page)
West Hartford Public Schools 2025-2026 in PDF,Connecticut,west-hartford-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-11,2024-08-28,2024-08-28,2025-06-11,schoolcalendarinfo.com (current page)
Westfield-Washington Schools 2025-2026 &amp; Holidays,Indiana,westfield-washington-schools,2024-2025,2025-04-04,2025-04-11,2024-12-23,2025-01-06,2025-05-23,2024-08-08,2024-08-08,2025-05-23,schoolcalendarinfo.com (current page)
Westport Public Schools 2025-2026 in PDF,Connecticut,westport-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-12,2024-08-27,2024-08-27,2025-06-12,schoolcalendarinfo.com (current page)
Wilson County Schools 2025-2026 in PDF,Tennessee,wilson-county-schools,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-03,2025-05-22,2024-08-02,2024-08-02,2025-05-22,schoolcalendarinfo.com (current page)
